R,U,L,N,K,replicate,seed,extinction_generation,extinction_status,final_generation,final_popsize
0,1.5,1.0,5000,10000,1,-8644845259584637847,1,extinct,1,0
0,1.5,1.0,5000,10000,2,-1137633009719598270,1,extinct,1,0
0,1.5,1.0,5000,10000,3,-3299698579950689607,1,extinct,1,0
0,1.5,1.0,5000,10000,4,7647419477935203898,1,extinct,1,0
0,1.5,1.0,5000,10000,5,-653588785563535727,1,extinct,1,0
0,2.0,0.0,5000,10000,1,-5767619692874488601,1,extinct,1,0
0,2.0,0.0,5000,10000,2,-4702879546303935470,1,extinct,1,0
0,2.0,0.0,5000,10000,3,-2323927480239210270,1,extinct,1,0
0,2.0,0.0,5000,10000,4,1904382919663057411,1,extinct,1,0
0,2.0,0.0,5000,10000,5,5879967265706320669,1,extinct,1,0
0,2.0,0.2,5000,10000,1,1129308644760305319,1,extinct,1,0
0,2.0,0.2,5000,10000,2,-8763403024242488807,1,extinct,1,0
0,2.0,0.2,5000,10000,3,-6579540582154572438,1,extinct,1,0
0,2.0,0.2,5000,10000,4,7957310361633062855,1,extinct,1,0
0,2.0,0.2,5000,10000,5,-3392090734295035773,1,extinct,1,0
0,2.0,0.4,5000,10000,1,-3578645365236469530,1,extinct,1,0
0,2.0,0.4,5000,10000,2,8154534010008305396,1,extinct,1,0
0,2.0,0.4,5000,10000,3,-4987139261958327594,1,extinct,1,0
0,2.0,0.4,5000,10000,4,-6230902609612687457,1,extinct,1,0
0,2.0,0.4,5000,10000,5,7859934966542426854,1,extinct,1,0
0,2.0,0.6,5000,10000,1,-8956786246155201432,1,extinct,1,0
0,2.0,0.6,5000,10000,2,3442757615830685144,1,extinct,1,0
0,2.0,0.6,5000,10000,3,-1948764378299212661,1,extinct,1,0
0,2.0,0.6,5000,10000,4,-4584663594666450565,1,extinct,1,0
0,2.0,0.6,5000,10000,5,2181622778368450658,1,extinct,1,0
0,2.0,0.8,5000,10000,1,-6712842353149812671,1,extinct,1,0
0,2.0,0.8,5000,10000,2,-2185676061777107888,1,extinct,1,0
0,2.0,0.8,5000,10000,3,3148253075334732866,1,extinct,1,0
0,2.0,0.8,5000,10000,4,-6090982477821360390,1,extinct,1,0
0,2.0,0.8,5000,10000,5,5452271315898475829,1,extinct,1,0
0,2.0,1.0,5000,10000,1,4439315498732234662,1,extinct,1,0
0,2.0,1.0,5000,10000,2,-216622005122342637,1,extinct,1,0
0,2.0,1.0,5000,10000,3,-6323989186294165595,1,extinct,1,0
0,2.0,1.0,5000,10000,4,-3599690435808513206,1,extinct,1,0
0,2.0,1.0,5000,10000,5,7835536628694967509,1,extinct,1,0
0,2.5,0.0,5000,10000,1,360691940154573807,1,extinct,1,0
0,2.5,0.0,5000,10000,2,-7342563071783416497,1,extinct,1,0
0,2.5,0.0,5000,10000,3,1254992587342211615,1,extinct,1,0
0,2.5,0.0,5000,10000,4,5060454029810537792,1,extinct,1,0
0,2.5,0.0,5000,10000,5,-5730168755529620910,1,extinct,1,0
0,2.5,0.2,5000,10000,1,-3350048039419072419,1,extinct,1,0
0,2.5,0.2,5000,10000,2,-2408491299591899403,1,extinct,1,0
0,2.5,0.2,5000,10000,3,-3241709190373012774,1,extinct,1,0
0,2.5,0.2,5000,10000,4,-6993461897406191574,1,extinct,1,0
0,2.5,0.2,5000,10000,5,-7227445092467269340,1,extinct,1,0
0,2.5,0.4,5000,10000,1,-7962946869816557491,1,extinct,1,0
0,2.5,0.4,5000,10000,2,5275439970750762913,1,extinct,1,0
0,2.5,0.4,5000,10000,3,1218557606997458495,1,extinct,1,0
0,2.5,0.4,5000,10000,4,2038425667380065197,1,extinct,1,0
0,2.5,0.4,5000,10000,5,4050001054556166705,1,extinct,1,0
0,2.5,0.6,5000,10000,1,-8269996201345021661,1,extinct,1,0
0,2.5,0.6,5000,10000,2,4026840883698095300,1,extinct,1,0
0,2.5,0.6,5000,10000,3,357410128914095526,1,extinct,1,0
0,2.5,0.6,5000,10000,4,-4040366239149791837,1,extinct,1,0
0,2.5,0.6,5000,10000,5,-2326561402485341299,1,extinct,1,0
0,2.5,0.8,5000,10000,1,-978669274372010404,1,extinct,1,0
0,2.5,0.8,5000,10000,2,5891138045337307900,1,extinct,1,0
0,2.5,0.8,5000,10000,3,-4620904603980916733,1,extinct,1,0
0,2.5,0.8,5000,10000,4,-8365266257423952146,1,extinct,1,0
0,2.5,0.8,5000,10000,5,1613266039321742774,1,extinct,1,0
0,2.5,1.0,5000,10000,1,-7371387547207971454,1,extinct,1,0
0,2.5,1.0,5000,10000,2,-7422893838543473910,1,extinct,1,0
0,2.5,1.0,5000,10000,3,8023512863289278373,1,extinct,1,0
0,2.5,1.0,5000,10000,4,3190497400394050193,1,extinct,1,0
0,2.5,1.0,5000,10000,5,2890713346918188361,1,extinct,1,0
0,3.0,0.0,5000,10000,1,784529042751373385,1,extinct,1,0
0,3.0,0.0,5000,10000,2,-6091656607230908673,1,extinct,1,0
0,3.0,0.0,5000,10000,3,5323916653160317786,1,extinct,1,0
0,3.0,0.0,5000,10000,4,1101295572301266753,1,extinct,1,0
0,3.0,0.0,5000,10000,5,1253460176508007411,1,extinct,1,0
0,3.0,0.2,5000,10000,1,-4127361224447553095,1,extinct,1,0
0,3.0,0.2,5000,10000,2,-4445361699479926066,1,extinct,1,0
0,3.0,0.2,5000,10000,3,2609588043297024080,1,extinct,1,0
0,3.0,0.2,5000,10000,4,-7333623414765309309,1,extinct,1,0
0,3.0,0.2,5000,10000,5,5924005016704594406,1,extinct,1,0
0,3.0,0.4,5000,10000,1,2995423140120162052,1,extinct,1,0
0,3.0,0.4,5000,10000,2,6352348773506220034,1,extinct,1,0
0,3.0,0.4,5000,10000,3,6294594771122884114,1,extinct,1,0
0,3.0,0.4,5000,10000,4,-102275232703240502,1,extinct,1,0
0,3.0,0.4,5000,10000,5,-4230450264584622809,1,extinct,1,0
0,3.0,0.6,5000,10000,1,-1601408077297153732,1,extinct,1,0
0,3.0,0.6,5000,10000,2,-141886888599321158,1,extinct,1,0
0,3.0,0.6,5000,10000,3,4270670263562787068,1,extinct,1,0
0,3.0,0.6,5000,10000,4,-3655375354148453604,1,extinct,1,0
0,3.0,0.6,5000,10000,5,-5718916261391707267,1,extinct,1,0
0,3.0,0.8,5000,10000,1,-4589749901038544385,1,extinct,1,0
0,3.0,0.8,5000,10000,2,4285193692257513548,1,extinct,1,0
