psiz,q1fit,meanfit,q2fit,maxfit,minfree,meanfree,maxfree,minmut,meanmut,maxmut,L,N,seed,U,R,K
10000,0.021461917332502856,0.3116235117793839,0.1989085067300253,0.9977840918923107,-8.73638643214113,-3.629963487974474,0.6763328377799818,78.0,111.5787,150.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.020969360589375548,0.3127437316008117,0.2009900519140892,0.9947124366802563,-8.76350422863137,-3.6387432339873893,0.6831340504064302,78.0,116.2979,149.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.02157486224245475,0.31765244489516115,0.21302594562709987,0.9941710677449528,-8.841460969805313,-3.6695069648390404,0.651131149827267,83.0,120.9171,153.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.02115781421533057,0.31570913478737894,0.21138745574422058,0.9943710371395391,-8.889398786813606,-3.661759393082946,0.6743600190837322,84.0,125.6072,161.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.02337073446482569,0.3129685972751582,0.21143965434146228,0.9942520576920575,-8.985186232133385,-3.684590108538168,0.6609345090454484,87.0,130.1917,165.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.021386287166096155,0.3090426058094302,0.20135253981706108,0.9971273295741112,-9.000931145823749,-3.6759813675311923,0.6864860765556478,89.0,134.9486,168.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.020504931411907755,0.31201065809025663,0.2043922276517705,0.995387504568679,-9.056579019147273,-3.6856682672177157,0.6844603700248408,92.0,139.2559,174.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.023008535245621735,0.3160612712713796,0.21322052752689444,0.9953847192831794,-9.14221544279564,-3.7229114483077415,0.6566237681787928,93.0,143.4304,180.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.020570601415995208,0.31484453234523246,0.2042304971077838,0.9959270610501726,-9.096643540886825,-3.7359046700107212,0.6697225017612878,97.0,147.976,185.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.024014379343206726,0.32470640939064577,0.22289809118018553,0.9964518444708339,-9.092108068746017,-3.7633218444218035,0.6270567893642239,100.0,152.3539,190.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.026248407391092448,0.32910039976661065,0.22573752335369998,0.9991496339394559,-9.07889379576883,-3.7779779788311907,0.5976293894168432,105.0,156.7662,196.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.02571237554569756,0.33128556290469263,0.23197084576352076,0.9985553131229074,-9.074712896519436,-3.7934385309229475,0.5954605278205211,108.0,161.2399,202.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.02586670890057264,0.3309386559325757,0.23172563031873167,0.998677533765389,-9.123314591192232,-3.8137886114475745,0.6027327305270673,111.0,165.6198,210.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.02730165423471801,0.3368342799404544,0.24320199217767172,0.9991881589666732,-9.151947133260794,-3.8318132006044556,0.5930831237226903,121.0,169.9283,215.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.028742753814525106,0.3375158204159803,0.2455122160768159,0.9984582554752015,-9.09607467525199,-3.8290459880002308,0.5627600770802388,126.0,174.2195,221.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.027470077166883433,0.33681147115074533,0.24480713214808064,0.9961126462171891,-9.1127321177278,-3.8285507777873224,0.5626010461889457,133.0,178.4542,225.0,0.0,10000,-2873813117404182536,5,9,10000
