psiz,q1fit,meanfit,q2fit,maxfit,minfree,meanfree,maxfree,minmut,meanmut,maxmut,L,N,seed,U,R,K
10000,0.017508005088158595,0.2969507312700486,0.18092385043138343,0.998129167278401,-8.087600482335077,-3.4200881658976585,0.7439830860795744,60.0,87.6903,121.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.018152170023500988,0.30173692176260075,0.1833587348937784,0.997360657815247,-8.175340698069789,-3.4613069613364744,0.7371487722352364,63.0,91.487,125.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02117799854562967,0.3112319534074938,0.20129094473064574,0.9973028590173442,-8.244250914822894,-3.5042408519954216,0.6636997243319803,66.0,95.167,132.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.020692098650247334,0.31299113742790774,0.19994703683565676,0.9976051846877934,-8.289704743770312,-3.518005214934801,0.6711510135077613,67.0,98.8987,133.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02068579947273983,0.3150577064192436,0.20557203543718583,0.9962811814687609,-8.302770797400226,-3.5286722614951405,0.6647249948485405,70.0,102.7633,140.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.022618072965286496,0.32034598211738813,0.21475467803837234,0.9966884549150284,-8.332224193818222,-3.543121884128722,0.6487535561144475,71.0,106.554,141.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02229977546745951,0.3160544039342675,0.21285978781606094,0.9976628141691225,-8.376326538901113,-3.5442061980641903,0.6600189184552618,77.0,110.4756,148.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02068140510929652,0.31599454573955565,0.20815479446452675,0.9955517510625492,-8.428839959958696,-3.5498623405284606,0.6619394500849172,82.0,114.2221,150.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.021845607314278197,0.3126617738884088,0.20897347184867343,0.9926423918663201,-8.460453732687677,-3.5404492100371945,0.6730335341160915,86.0,118.3874,155.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02185565358524787,0.31372218279845854,0.20360805066556714,0.9916514102633516,-8.491929021697429,-3.5505614307324227,0.6652953191869044,90.0,122.1675,157.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.021868786938887715,0.3150764558974232,0.2042288915200972,0.9928015328604058,-8.505743091009768,-3.5375281349907244,0.6533456984316092,92.0,126.0661,161.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.021211220701347372,0.3153892028321486,0.20923648391715344,0.9960193811281292,-8.5592290895389,-3.5543069425185165,0.6577663807526263,96.0,129.9062,166.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.023305920593846778,0.3154831100566123,0.20540769997634234,0.9958223550336209,-8.667225635939237,-3.575741416003776,0.6511566609501315,99.0,133.76,171.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02307917475023064,0.3171612420340285,0.2053868396225066,0.995822362058966,-8.624964178117462,-3.566207106974696,0.6475396704314852,102.0,137.5943,178.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02282385263792416,0.3185779343516723,0.20766535158816968,0.9966455610153834,-8.630040172360804,-3.5734471127404075,0.6511939097930131,104.0,141.2793,181.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02106813638131548,0.3159428933610969,0.20358172586765863,0.9974800049574759,-8.654613292499693,-3.5691070499678106,0.6724223844694388,107.0,145.0829,186.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.022661483089524405,0.3154560104834909,0.2048784689082341,0.9980469355892143,-8.634468303225365,-3.5693995608100915,0.6580062584317423,111.0,148.9768,192.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02007107047598837,0.3121479540580252,0.20435090400265934,0.9981043973165068,-8.605438403011728,-3.551138366782357,0.6735651609797413,116.0,152.892,198.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.020885180347306492,0.3118709758738168,0.20026826589224564,0.9984215500617201,-8.592752976609875,-3.5571279815385948,0.6798456362766333,117.0,156.6736,206.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.0237301304415284,0.31926653862032983,0.21624238371251323,0.9978620958223177,-8.562136019970037,-3.56023236851173,0.6567442658713942,118.0,160.5497,206.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.02232862357732168,0.3156003592262937,0.21069847349340137,0.998234875794737,-8.547358975362355,-3.5495621245794,0.6535333764534523,120.0,164.2543,209.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.022740116204102025,0.3183198780297816,0.21545863602063908,0.9971082975166868,-8.530114143358611,-3.560319733502486,0.6444037308484185,121.0,167.8014,213.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.021592188215367868,0.31485602856971184,0.20724205316644054,0.9975676820547612,-8.494800042464684,-3.5514215152055826,0.6646448083438818,129.0,171.5285,218.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.024106703945418258,0.31198081673423983,0.20339470134956034,0.9963804136675495,-8.49297521577788,-3.5343064194055334,0.6581806796371229,135.0,174.879,226.0,0.0,10000,-719784586405149528,5,9,10000
10000,0.022621098717599607,0.31548816287888237,0.20935487876771153,0.9961518662556087,-8.468651360833372,-3.53218819324215,0.6596995691232357,136.0,178.2494,231.0,0.0,10000,-719784586405149528,5,9,10000
